2024-09-06 13:28:05,093 - INFO - Starting file categorization for folder: C:\Users\Abylaikhan Bari\Downloads\TestTask
2024-09-06 13:32:26,317 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\2022_БАК_Калиев_Дидар_Муктарұлы.pdf, Last modified: 2024-02-27 20:32:30.639867
2024-09-06 13:32:26,317 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\2022_БАК_Ораз Ә. Ғ..pdf, Last modified: 2024-02-27 20:34:36.251914
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\2022_БАК_Серикова_Камила_Арманкызы.pdf, Last modified: 2024-02-27 20:52:06.277714
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\4463418861.pdf, Last modified: 2024-05-11 09:20:14.272439
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\default_profile_image.jpeg, Last modified: 2024-02-03 17:12:47.807454
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\diagram (1).svg, Last modified: 2024-05-15 20:41:55.383177
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\diagram (2).bpmn, Last modified: 2024-05-15 20:41:46.799149
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ic_launcher.xml, Last modified: 2024-02-15 22:56:14.773449
2024-09-06 13:32:26,318 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ic_launcher_round.xml, Last modified: 2024-02-15 22:56:14.819427
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\JOBA.pdf, Last modified: 2024-01-29 18:58:42.736850
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\key.jks, Last modified: 2024-05-18 12:15:17.720330
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\logo.jpeg, Last modified: 2024-02-11 19:22:59.271443
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\MVVM презентация.pptx, Last modified: 2024-02-04 19:44:55.030441
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU - Kazakh Language Grammar Exercises App.png, Last modified: 2024-03-28 21:10:41.115299
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU admin 1.apk, Last modified: 2024-03-29 10:01:42.288247
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU admin.apk, Last modified: 2024-04-14 01:54:43.197495
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU old.apk, Last modified: 2024-03-29 11:21:08.532446
2024-09-06 13:32:26,319 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU Video.mp4, Last modified: 2024-06-01 18:39:58.269015
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU техникалық тапсырма.docx, Last modified: 2024-05-30 08:49:19.419536
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU.apk, Last modified: 2024-04-14 15:58:35.866499
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TilTanu.zip, Last modified: 2024-02-01 15:35:21.697310
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Video.mp4, Last modified: 2024-05-17 10:59:58.438823
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\~$Диплом.docx, Last modified: 2024-05-03 17:58:08.424049
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Авт_протокол_по_решению_доступа_к_защите_Эксперт_Разработка_мобильного.pdf, Last modified: 2024-06-03 08:44:33.730956
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Антиплагиат.jpg, Last modified: 2024-06-06 19:51:35.251034
2024-09-06 13:32:26,320 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Антиплагиат.pdf, Last modified: 2024-06-06 19:52:23.163782
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Бариев Абылайхан сертификат о гранте.pdf, Last modified: 2024-06-06 20:04:58.487809
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\График.pdf, Last modified: 2024-06-06 19:59:07.665141
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Диплом.docx, Last modified: 2024-05-07 11:45:48.085500
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Диплом_Абылайхан_Ілияс final.docx, Last modified: 2024-06-05 21:21:41.624686
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Диплом_Абылайхан_Ілияс images.docx, Last modified: 2024-06-06 19:39:29.624014
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Диплом_Абылайхан_Ілияс.docx, Last modified: 2024-06-02 20:27:14.494944
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба + титул TildeSU.docx, Last modified: 2024-06-01 15:53:21.352852
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба + титул беттері (скан).docx, Last modified: 2024-06-06 19:49:29.733030
2024-09-06 13:32:26,321 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба - титул TildeSU.docx, Last modified: 2024-05-31 11:53:29.131016
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба TildeSU final.pptx, Last modified: 2024-06-05 22:37:09.635971
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба TildeSU.docx, Last modified: 2024-05-21 22:50:44.159913
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба TildeSU.pptx, Last modified: 2024-06-02 20:23:09.650507
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Дипломдық жоба АП.docx, Last modified: 2024-06-01 17:53:35.677668
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ДП (бакалавриат, рецензенты, нормаконр, прог. обеспечен.)23-24г.docx, Last modified: 2024-05-14 20:29:18.461609
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жеке куәлік Бари(ев) А.А..jpg, Last modified: 2024-06-06 19:55:35.921660
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жеке куәлік Бари(ев) А.А..pdf, Last modified: 2024-06-06 20:08:57.937860
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жеке куәлік Әшім І.Д..jpg, Last modified: 2024-06-06 19:54:41.016412
2024-09-06 13:32:26,322 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жеке куәлік Әшім І.Д..pdf, Last modified: 2024-06-06 20:09:26.599557
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жетекші пікірі 1.jpg, Last modified: 2024-06-06 20:14:04.586957
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жетекші пікірі 2.jpg, Last modified: 2024-06-06 20:14:15.449572
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Жетекші пікірі.pdf, Last modified: 2024-06-06 20:15:09.633495
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\КЕСТЕ.docx, Last modified: 2024-05-30 18:12:45.896199
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Методические указания по написанию и оформлению.pdf, Last modified: 2023-12-19 14:45:59.208091
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Отзыв.docx, Last modified: 2024-05-15 17:15:10.081326
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Отзыв_рук Булычов Руслан.doc, Last modified: 2024-06-03 08:40:29.224489
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ПЗ 1.jpg, Last modified: 2024-06-06 18:56:14.680810
2024-09-06 13:32:26,323 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ПЗ 2.jpg, Last modified: 2024-06-06 18:58:07.933358
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ПЗ 3.jpg, Last modified: 2024-06-06 18:59:55.318240
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ПЗ 4.jpg, Last modified: 2024-06-06 19:01:03.873306
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\ПЗ 5.jpg, Last modified: 2024-06-06 19:03:47.251385
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Презентация дипломного проекта.pptx, Last modified: 2023-12-19 22:23:24.551376
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Рецензия 1.jpg, Last modified: 2024-06-06 19:52:48.847985
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Рецензия 2.jpg, Last modified: 2024-06-06 19:52:54.420629
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Рецензия Булычов Руслан.doc, Last modified: 2024-06-01 10:41:00.692717
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Рецензия Әшім І.Д,, Бари А.А. final.docx, Last modified: 2024-06-03 08:40:48.415926
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Рецензия Әшім І.Д,, Бари А.А..docx, Last modified: 2024-06-02 16:46:56.833964
2024-09-06 13:32:26,324 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Рецензия.pdf, Last modified: 2024-06-06 20:10:03.015023
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Тапсырма.pdf, Last modified: 2024-06-06 20:00:04.921612
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Техническое задание на разработку мобильного приложения для изучения грамматики казахского языка.docx, Last modified: 2024-01-29 16:37:45.672466
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Техническое_задание_на_разработку_мобильного_приложения_для_изучения.docx, Last modified: 2024-03-29 10:24:42.918753
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Титульный лист.docx, Last modified: 2024-05-30 18:19:48.431737
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Түсіндірме жазба + титул беттері (скан).pdf, Last modified: 2024-06-06 19:49:47.601456
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Шаблон презентации для Дипломного проекта.pptx, Last modified: 2023-12-19 19:34:13.625267
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Ғылыми жетекші пікірі final.docx, Last modified: 2024-06-03 09:22:34.576004
2024-09-06 13:32:26,325 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\Ғылыми жетекші пікірі.docx, Last modified: 2024-05-30 20:51:16.622891
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.gitignore, Last modified: 2024-06-01 20:42:48.305556
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\build.gradle.kts, Last modified: 2024-06-01 20:43:39.078070
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\gradle.properties, Last modified: 2024-06-21 13:25:53.807691
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\gradlew, Last modified: 2024-02-13 12:43:28.454160
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\gradlew.bat, Last modified: 2024-02-13 12:43:28.458158
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\local.properties, Last modified: 2024-05-20 21:37:06.058373
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\README.md, Last modified: 2024-06-01 20:43:38.926641
2024-09-06 13:32:26,326 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\settings.gradle.kts, Last modified: 2024-06-01 20:43:39.080076
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\COMMIT_EDITMSG, Last modified: 2024-07-23 09:53:52.752665
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\config, Last modified: 2024-02-20 12:46:47.542507
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\description, Last modified: 2024-02-13 14:22:56.016220
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\FETCH_HEAD, Last modified: 2024-06-01 20:43:46.059666
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\HEAD, Last modified: 2024-06-28 12:52:47.899442
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\index, Last modified: 2024-07-23 09:53:52.750372
2024-09-06 13:32:26,327 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\ORIG_HEAD, Last modified: 2024-06-21 13:25:53.826314
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\applypatch-msg.sample, Last modified: 2024-02-13 14:22:56.017220
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\commit-msg.sample, Last modified: 2024-02-13 14:22:56.018220
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\fsmonitor-watchman.sample, Last modified: 2024-02-13 14:22:56.018220
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\post-update.sample, Last modified: 2024-02-13 14:22:56.019220
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\pre-applypatch.sample, Last modified: 2024-02-13 14:22:56.019220
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\pre-commit.sample, Last modified: 2024-02-13 14:22:56.020221
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\pre-merge-commit.sample, Last modified: 2024-02-13 14:22:56.021221
2024-09-06 13:32:26,328 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\pre-push.sample, Last modified: 2024-02-13 14:22:56.021221
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\pre-rebase.sample, Last modified: 2024-02-13 14:22:56.022220
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\pre-receive.sample, Last modified: 2024-02-13 14:22:56.022220
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\prepare-commit-msg.sample, Last modified: 2024-02-13 14:22:56.023221
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\push-to-checkout.sample, Last modified: 2024-02-13 14:22:56.023221
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\sendemail-validate.sample, Last modified: 2024-02-13 14:22:56.024220
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\hooks\update.sample, Last modified: 2024-02-13 14:22:56.024220
2024-09-06 13:32:26,329 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\info\exclude, Last modified: 2024-02-13 14:22:56.025220
2024-09-06 13:32:26,330 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\TildeSU\.git\logs\HEAD, Last modified: 2024-07-23 09:53:52.757664
